Arbutus unedo
Asphodelus aestivus
Chamaerops humilis
Ephedra fragilis subsp. fragilis
Helichrysum stoechas
Juniperus oxycedrus subsp. oxycedrus
Pistacia lentiscus
Quercus coccifera
Rhamnus alaternus
Viburnum tinus
